numero_pedido,numero_linha_pedido,status_pedido,id_trimestre,id_mes,id_ano,linha_produto,codigo_produto,preco_sugerido,quantidade_solicitada,preco_unitario,valor_total,porte_negocio,nome_cliente,data
10107,2,Enviado,1,2,2003,Motos,S10_1678,95,30,95.7,2871.0,Pequeno,Land of Toys Inc.,24-02-2003
10121,5,Enviado,2,5,2003,Motos,S10_1678,95,34,81.35,2765.9,Pequeno,Reims Collectables,07-05-2003
10134,2,Enviado,3,7,2003,Motos,S10_1678,95,41,94.74,3884.34,Médio,Lyon Souveniers,01-07-2003
10145,6,Enviado,3,8,2003,Motos,S10_1678,95,45,83.26,3746.7,Médio,Toys4GrownUps.com,25-08-2003
10159,14,Enviado,4,10,2003,Motos,S10_1678,95,49,100.0,5205.27,Médio,Corporate Gift Ideas Co.,10-10-2003
10168,1,Enviado,4,10,2003,Motos,S10_1678,95,36,96.66,3479.76,Médio,Technics Stores Inc.,28-10-2003
10180,9,Enviado,4,11,2003,Motos,S10_1678,95,29,86.13,2497.77,Pequeno,Daedalus Designs Imports,11-11-2003
10188,1,Enviado,4,11,2003,Motos,S10_1678,95,48,100.0,5512.32,Médio,Herkku Gifts,18-11-2003
10201,2,Enviado,4,12,2003,Motos,S10_1678,95,22,98.57,2168.54,Pequeno,Mini Wheels Co.,01-12-2003
10211,14,Enviado,1,1,2004,Motos,S10_1678,95,41,100.0,4708.44,Médio,Auto Canal Petit,15-01-2004
10223,1,Enviado,1,2,2004,Motos,S10_1678,95,37,100.0,3965.66,Médio,"Australian Collectors, Co.",20-02-2004
10237,7,Enviado,2,4,2004,Motos,S10_1678,95,23,100.0,2333.12,Pequeno,Vitachrome Inc.,05-04-2004
10251,2,Enviado,2,5,2004,Motos,S10_1678,95,28,100.0,3188.64,Médio,Tekni Collectables Inc.,18-05-2004
10263,2,Enviado,2,6,2004,Motos,S10_1678,95,34,100.0,3676.76,Médio,Gift Depot Inc.,28-06-2004
10275,1,Enviado,3,7,2004,Motos,S10_1678,95,45,92.83,4177.35,Médio,La Rochelle Gifts,23-07-2004
10285,6,Enviado,3,8,2004,Motos,S10_1678,95,36,100.0,4099.68,Médio,Marta's Replicas Co.,27-08-2004
10299,9,Enviado,3,9,2004,Motos,S10_1678,95,23,100.0,2597.39,Pequeno,"Toys of Finland, Co.",30-09-2004
10309,5,Enviado,4,10,2004,Motos,S10_1678,95,41,100.0,4394.38,Médio,Baane Mini Imports,15-10-2004
10318,1,Enviado,4,11,2004,Motos,S10_1678,95,46,94.74,4358.04,Médio,Diecast Classics Inc.,02-11-2004
10329,1,Enviado,4,11,2004,Motos,S10_1678,95,42,100.0,4396.14,Médio,Land of Toys Inc.,15-11-2004
10341,9,Enviado,4,11,2004,Motos,S10_1678,95,41,100.0,7737.93,Grande,Salzburg Collectables,24-11-2004
10361,13,Enviado,4,12,2004,Motos,S10_1678,95,20,72.55,1451.0,Pequeno,Souveniers And Things Co.,17-12-2004
10375,12,Enviado,1,2,2005,Motos,S10_1678,95,21,34.91,733.11,Pequeno,La Rochelle Gifts,03-02-2005
10388,4,Enviado,1,3,2005,Motos,S10_1678,95,42,76.36,3207.12,Médio,FunGiftIdeas.com,03-03-2005
10403,7,Enviado,2,4,2005,Motos,S10_1678,95,24,100.0,2434.56,Pequeno,"UK Collectables, Ltd.",08-04-2005
10417,2,Em disputa,2,5,2005,Motos,S10_1678,95,66,100.0,7516.08,Grande,Euro Shopping Channel,13-05-2005
10103,11,Enviado,1,1,2003,Carros Clássicos,S10_1949,214,26,100.0,5404.62,Médio,Baane Mini Imports,29-01-2003
10112,1,Enviado,1,3,2003,Carros Clássicos,S10_1949,214,29,100.0,7209.11,Grande,"Volvo Model Replicas, Co",24-03-2003
10126,11,Enviado,2,5,2003,Carros Clássicos,S10_1949,214,38,100.0,7329.06,Grande,"Corrida Auto Replicas, Ltd",28-05-2003
10140,11,Enviado,3,7,2003,Carros Clássicos,S10_1949,214,37,100.0,7374.1,Grande,Technics Stores Inc.,24-07-2003
10150,8,Enviado,3,9,2003,Carros Clássicos,S10_1949,214,45,100.0,10993.5,Grande,"Dragon Souveniers, Ltd.",19-09-2003
10163,1,Enviado,4,10,2003,Carros Clássicos,S10_1949,214,21,100.0,4860.24,Médio,Classic Legends Inc.,20-10-2003
10174,4,Enviado,4,11,2003,Carros Clássicos,S10_1949,214,34,100.0,8014.82,Grande,"Australian Gift Network, Co",06-11-2003
